Item Name,Quantity,Price,Description,Type
Crab Back,Per,$45.00,,appetizer
Fried Wantons (Shrimp),Per Doz.,$30.00,,appetizer
Steamed Wantons in Garlic Sauce (Shrimp),Per Doz.,$35.00,,appetizer
Shrimp Cocktail,Each,$40.00,Shrimps served with a sauce specially blended by the chef.,appetizer
Egg Rolls,Each,$42.00,Chicken and finely chopped vegetables rolled on an egg sheet and deep-fried.,appetizer
Chicken Wings (Fried),Per Doz.,$58.00,,appetizer
Stuffed Chicken Wings (Steamed),6,$50.00,Steamed fillet chicken wing stuffed with strips of vegetables.,appetizer
Pow (Pork),Per,$10.00,,appetizer
Har Gau,Per Doz.,$60.00,Shrimps wrapped with a skin that is made from 'Chinese Flour'. (Steamed),appetizer
Siu Mei,Per Doz.,$54.00,Pork wrapped in wanton skin to resemble baby cup cakes. (Steamed),appetizer
Chicken Siu Mei,Per Doz.,$56.00,,appetizer
Shrimp Siu Mei,Per Doz.,$68.00,,appetizer
Chinese Dumplings,6,$32.00,This is not the local dumpling!! It has chicken meat and patchoi on the inside. (Pan Fried),appetizer
Stuffed Shrimp,Each,$40.00,Minced shrimp stuffed with a whole shrimp on the inside. (Deep fried),appetizer
Fried Squid,1/4,$52.00,The tentacles of the squid are lightly battered and deep-fried.,appetizer
Stuffed Sweet Peppers,6,$50.00,"Pan-fried sweet pepper rings, stuffed with fish. Served in a black bean sauce.",appetizer
Stuffed Hot Peppers,6,$50.00,Pan-fried HOT peppers stuffed with fish. Served in a black bean sauce. A daring experience!,appetizer
Stuffed Karaili,6,$50.00,Steamed karaili stuffed with shrimp served in a black bean sauce.,appetizer
Stuffed Eggplant,6,$50.00,Batter fried pieces of eggplant stuffed with fish.,appetizer
Stuffed Mushroom,6,$50.00,Stuffed with shrimp or fish.,appetizer
Lambie Souse,Each,$36.00,"A delicious, sea conchs souse.",appetizer
Spring Rolls,6,$36.00,"Strips of vegetables wrapped in a deep-fried, egg-less skin, specially made by the chef.",vegetarian appetizer
Pineapple Wanton (Fried or Steamed),Per Doz.,$35.00,,vegetarian appetizer
Batter fried melongene,6,$22.00,,vegetarian appetizer
Fries,Each,$20.00,,vegetarian appetizer
Canton Sea Food,Small,$26.00,"A thin soup with crabmeat, shrimp, fish balls, tofu and patchoi.",soup
Chicken Corn,Small,$18.00,"A thick soup with minced chicken, cream-style corn and egg white.",soup
Chicken Mushroom,Small,$20.00,"A thick soup with minced chicken, mushrooms and egg white.",soup
Dried Scallop,Small,$38.00,"A thick soup made with dried scallops, minced chicken and egg white.",soup
Egg Drop,Small,$18.00,,soup
Fish Ball Vegetable,Small,$24.00,,soup
Foo Young Kai Nip,Small,$18.00,"A thick soup boiled with finely chopped vegetables, chicken and egg white.",soup
Hot & Sour,Small,$20.00,"A thick sour & spicy soup made with chicken, egg white, fun see, mushroom, & vegetables.",soup
Pickled Shredded Chicken,Small,$20.00,"A thin soup made with Chinese pickled vegetables, chicken & fun see.",soup
Shark's Fin,Small,$48.00,"A thick soup chock full of sharkâ€™s fin with strips of chicken, mushroom, carrots, and egg white.",soup
